timestamp,latitude,longitude,event_type
2001-01-01,,,crime
2001-01-01,14.72422,77.4306738,crime
2001-01-01,13.2026484,79.0032253,crime
2001-01-01,14.4956602,78.8349278,crime
2001-01-01,16.9956639,81.7154378,crime
2001-01-01,,,crime
2001-01-01,16.2915189,80.4541588,crime
2001-01-01,,,crime
2001-01-01,,,crime
2001-01-01,17.076944,81.2991746,crime
2001-01-01,16.2129438,81.0283082,crime
2001-01-01,15.8309251,78.0425373,crime
2001-01-01,,,crime
2001-01-01,,,crime
2001-01-01,,,crime
2001-01-01,14.4493717,79.9873763,crime
2001-01-01,18.3015062,84.0232082,crime
2001-01-01,16.5014312,80.6031619,crime
2001-01-01,13.1005818,79.1255137,crime
2001-01-01,,,crime
2001-01-01,18.2949307,83.8938844,crime
2001-01-01,16.5115306,80.6160469,crime
2001-01-01,,,crime
2001-01-01,17.8044271,83.344824,crime
2001-01-01,17.6935526,83.2921297,crime
2001-01-01,18.1141255,83.4114389,crime
2001-01-01,,,crime
2001-01-01,16.6443029,81.5885247,crime
2001-01-01,16.5082164,80.6756877,crime
2001-01-01,27.272007,96.065526,crime
2001-01-01,28.8291044,95.9554096,crime
2001-01-01,27.557781,92.9673843,crime
2001-01-01,27.3386269,92.4333662,crime
2001-01-01,28.0350161,96.1713515,crime
2001-01-01,27.2863666,93.6187716,crime
2001-01-01,28.0742219,95.4178149,crime
2001-01-01,28.7312046,95.0377315,crime
2001-01-01,28.1698587,94.7979923,crime
2001-01-01,27.5326327,93.7823245,crime
2001-01-01,28.2596054,94.0938106,crime
2001-01-01,27.5879186,91.863733,crime
2001-01-01,27.030169,95.4979175,crime
2001-01-01,,,crime
2001-01-01,26.345941,91.039708,crime
2001-01-01,26.4800126,90.5580387,crime
2001-01-01,53.3740365,-6.1416448,crime
2001-01-01,24.75864,92.8816648,crime
2001-01-01,26.4373482,92.0047145,crime
2001-01-01,27.5945155,94.7192098,crime
2001-01-01,26.132275,90.1249962,crime
2001-01-01,27.4844597,94.9019447,crime
2001-01-01,,,crime
2001-01-01,26.0491877,90.6001859,crime
2001-01-01,26.5108262,93.9743686,crime
2001-01-01,26.1805978,91.753943,crime
2001-01-01,24.6846916,92.5645836,crime
2001-01-01,26.7577925,94.2079645,crime
2001-01-01,26.146886,91.2227397,crime
2001-01-01,26.0,93.5,crime
2001-01-01,24.5828195,92.3725486,crime
2001-01-01,26.4912103,90.1215209,crime
2001-01-01,27.1763356,94.1992932,crime
2001-01-01,26.2551482,92.3290878,crime
2001-01-01,,,crime
2001-01-01,26.3313646,92.7524763,crime
2001-01-01,26.3533631,91.3983662,crime
2001-01-01,,,crime
2001-01-01,26.9834936,94.6394226,crime
2001-01-01,26.7677707,92.7014089,crime
2001-01-01,27.4879722,95.3601855,crime
2001-01-01,-20.5373268,-49.3232942,crime
2001-01-01,26.1346459,87.4654062,crime
2001-01-01,25.1812831,84.6596648,crime
2001-01-01,24.8033201,84.4110198,crime
2001-01-01,27.0590111,84.2064638,crime
2001-01-01,24.8328273,86.8161114,crime
2001-01-01,25.5125411,86.0883392,crime
2001-01-01,26.7910727,84.5601068,crime
2001-01-01,,,crime
2001-01-01,25.2861354,87.1304229,crime
2001-01-01,25.4501182,84.5635193,crime
2001-01-01,25.5044834,84.1097525,crime
2001-01-01,26.0829899,86.0324951,crime
2001-01-01,24.679389,85.0115833,crime
2001-01-01,26.4211166,84.3739133,crime
2001-01-01,,,crime
2001-01-01,24.7562513,86.3011128,crime
2001-01-01,25.1529578,85.0065043,crime
2001-01-01,25.5586421,87.6457196,crime
2001-01-01,,,crime
2001-01-01,25.4930513,86.6982264,crime
2001-01-01,26.2984144,87.9466715,crime
2001-01-01,25.1543938,86.1744959,crime
2001-01-01,25.7806118,86.9364753,crime
2001-01-01,26.3503076,86.2296424,crime
2001-01-01,26.6506888,84.9114654,crime
2001-01-01,25.2202864,86.5161484,crime
2001-01-01,26.1482548,85.3316097,crime
2001-01-01,,,crime
2001-01-01,25.1364914,85.4436546,crime
2001-01-01,25.3857731,87.0997616,crime
2001-01-01,24.8858896,85.5481255,crime
2001-01-01,25.6093239,85.1235252,crime
2001-01-01,,,crime
2001-01-01,25.7773601,87.4731227,crime
2001-01-01,24.9394142,84.0197031,crime
2001-01-01,25.8330757,86.6143751,crime
2001-01-01,25.7747884,85.8672314,crime
2001-01-01,25.9214451,84.7759731,crime
2001-01-01,25.1250741,85.8160771,crime
2001-01-01,26.4934234,85.2717561,crime
2001-01-01,26.5942841,85.500428,crime
2001-01-01,26.131008,84.3910745,crime
2001-01-01,26.2768089,86.7959614,crime
2001-01-01,25.7491702,85.3972164,crime
2001-01-01,47.513824,21.660353,crime
2001-01-01,23.6282576,83.4810916,crime
2001-01-01,22.1638486,82.1365923,crime
2001-01-01,,,crime
2001-01-01,18.9080594,81.3557636,crime
2001-01-01,20.5326259,81.7155987,crime
